Word,Count
I,524
said,456
Alice,401
The,126
little,125
one,98
know,90
like,85
work,85
Project,84
Gutenberg,84
went,83
thing,82
thought,76
Queen,75
could,75
time,74
would,70
see,67
And,67
It,66
You,63
King,61
way,60
Turtle,59
head,59
Mock,57
ll,57
began,57
m,57
tm,57
say,55
Hatter,55
Gryphon,55
go,54
quite,53
much,52
must,51
voice,51
think,49
Rabbit,47
1,47
looked,45
got,45
get,44
first,44
ve,43
never,42
make,42
What,42
Duchess,42
tone,42
round,41
re,40
well,40
came,40
Dormouse,40
She,39
great,39
back,39
day,37
But,37
eye,36
There,35
Oh,35
without,34
March,34
large,33
found,33
If,33
right,32
word,32
hand,32
long,32
door,32
minute,32
two,32
looking,32
last,32
dear,31
moment,31
put,31
Hare,31
nothing,30
made,30
heard,30
Mouse,30
tell,29
replied,29
use,28
away,28
Caterpillar,28
foot,28
look,28
next,28
upon,28
come,28
might,28
three,28
So,27
